publisher,count
Paul Quintaro,228373
Lisa Levin,186979
Benzinga Newsdesk,150484
Charles Gross,96732
Monica Gerson,82380
Eddie Staley,57254
Hal Lindon,49047
ETF Professor,28489
Juan Lopez,28438
Benzinga Staff,28114
Vick Meyer,24826
webmaster,20313
Benzinga_Newsdesk,19410
Zacks,19390
Jayson Derrick,19050
Allie Wickman,18317
Shanthi Rexaline,16640
Craig Jones,16221
Wayne Duggan,12897
Nelson Hem,12590
Dwight Einhorn,12226
Michael J. Zerinskas,10892
Joe Young,10777
Javier Hasse,8839
David Johnson,8749
Matthew Kennedy,8167
Forex Live,7198
Laura Brodbeck,7069
Scott Rubin,6553
Jake L'Ecuyer,5810
Roger Nachman,5510
luke@benzinga.com,5198
Jonathan Chen,4795
Garrett Cook,4646
Benzinga Insights,4371
Benzinga Staff 5,4068
optionsXpress,3842
Manikandan Raman,3837
Elizabeth Balboa,3804
Benzinga News Desk,3782
BenzingaStaffJ,3616
Jim Swanson,3606
JJ Kinahan,3583
Benzinga Newsdesk,3580
John Seward,3576
FreightWaves,3543
Matthew Kanterman,3218
Louis Bedigian,2976
Brett Hershman,2859
Daniel Hayden IV,2813
BenzingaStaffL,2745
Benjamin Lee,2709
R. Chandrasekaran,2522
Joel Elconin,2482
James Hunt,2461
Emily Austin,2245
Kevin Riley,2158
CEO World,2139
BenzingaStaff3,2036
inthemoneystocks,2001
Benzinga Staff Writer,1985
António Costa,1897
Gordon Wilcox,1891
vishwanath@benzinga.com,1830
Alex Furno,1780
Theo Kratz,1709
Delores Land,1704
tradermark,1659
BenzingaStaffB,1650
Phil Marsh,1636
Tanzeel Akhtar,1512
David Bettencourt,1499
Bud Fox,1496
Abe Raymond,1464
Fred Fuld,1456
Matthew McCall,1448
Taylor Cox,1414
Luke Jacobi,1198
Bill Stoller,1187
Hilary Farrell,1122
BenzingaStaffT,1117
Benzinga Newdesk,1110
The Ticker Tape,1088
Tim Parker,1062
Brad Hammond,1044
Dave Royse,996
Ezra Schwarzbaum,984
Gary Cassady,927
bret.kenwell@benzinga.com,896
Chris Dier-Scalise,889
Investor Ideas,884
Jim Probasco,882
Neer Varshney,872
Erika Janowicz,855
Eric Niederer,852
Minyanville,831
Steven Anfield,795
Spencer Israel,765
Sam Mattera,760
David Fabian,728
Invest With An Edge,720
Franklin Price,690
Mark Meadows,688
Ritesh Anan,686
Benzinga  Newsdesk,673
BenzingaStaff1,663
Swing Trader,648
IAM Newswire,630
Jon Kashat,629
Ryan Mallory,600
Priya Nigam,579
Viktor Puskorius,570
Jason Shubnell,542
Andrew Efimoff,541
MyPlanIQ,536
Ali Berri,516
Roger Nusbaum,504
Brett Callwood,495
Jake Mann,486
Luke J Jacobi,481
Options House,478
Amy Weingarden,475
Mark Raymon,452
Shivdeep Dhaliwal,442
Patrick Henderson,435
Shazir Mucklai,433
Covestor,431
Hannah Genig,428
Jonathan Yates,416
David Trainer,410
John Harris,408
TipRanks,404
Mike Butler,403
Kevin McElroy,398
Tyree Gorges,398
Anthony Sanfilippo,391
Matt Hogan - Finbox.io,391
Mark Fritz,387
John Nyaradi,373
Sam Liu,371
PreMarketInfo,341
Dave Moenning,340
Rebecca Sheppard,339
Ronald Weisenstein,335
Michael Kudrna,329
Mark Moneymaster,325
Scout Finance,321
Early Global News,319
Bill Haddad,317
Dustin Blitchok,316
Benzinga Staff15,314
Mark Riddix,313
Lydia Davidson,308
Investor's Business Daily,304
Motif Investing,296
Aaron Levitt,295
Ian Wyatt,291
SmallCapPower,284
Bruce Kennedy,282
Zack Armstrong,278
Brandon Pilzner,276
Sebastian Brown,274
Anna Gerardi,273
Marco Anthony,267
James Hunter,265
Charles Enser,262
Alex Biles,261
Social Market Analytics,260
TD Ameritrade,253
Jack Grant,252
WilliamBriat,246
Spencer White,245
InvestorIdeas,244
Nick Lazich,244
SmallCapVoice,240
Oakshire Financial,238
Merrick Weingarten,228
Jason Papallo,228
Kurt Zuschlag,227
Katey Stapleton,226
Clay Wyatt,225
Nicholas Donato,221
Leigh Drogen,218
Tim Melvin,213
Jennifer Lynn,207
Davit Kirakosyan,207
John Thorpe,207
Market Rewind,207
Tabitha Jean Naylor,206
Garet Zatz,205
Eric Mancini,203
Nick Smith,200
Michael R Foster,198
brettstockblog,198
VantagePoint,196
Brianna Valleskey,196
Bryan Finnigan,195
Benzinga Pro Newsdesk,191
Marco Rabinowitz,190
Renato Capelj,189
Kyle Dennis,189
Charley Blaine,189
J.D. Singh,185
Dhiraj Surapaneni,179
Ilir Shkurti,175
Ted Friedman,173
lbjacobi,172
Hao Jin,170
Ken Shreve,168
Spock Picks,166
Insider Monkey,165
Rich Worthington,164
Christian Tharp CMT,164
Asif Suria,163
Stephen Castellano,162
Jose Rodrigo Safdiye,154
Zoheb Sait,153
CarpeDiem,153
Frank Sylvester,151
T3LIVE,148
Nic Chahine,147
Abhi Rao,146
Luci Morland,145
Christina Jackson,145
chenry4287,144
Jeff Uscher,141
TD Ameritrade Network,140
Alex Oleinic,140
Thomas Smicklas,138
investmentcontrarians,137
MrTopStep,137
Patrick Williams,136
Tuomo Kallio,136
CapitalCube,132
strichie,132
Daniel Ho,132
investingdaily,131
Zignals,130
ETF Digest,129
David Pinsen,129
Ali Hakim,127
Dylan Wittenberg,123
Sang Lucci,121
Alex Shek,121
vivek.proactive@gmail.com,120
EconMatters,120
Armen,119
George Vieira,116
Ari Crane,107
Thomas Stein,106
Rahul Kaundal,103
Eric TerBush,103
TPC,102
General,100
Scotts Investments,100
Nitai Leve,99
Charles Lewis Sizemore CFA,97
Jay Peroni,94
Sam Subramanian,94
DailyFX,92
Victor Nguyen,92
Chuck Carnevale,90
Santhosh Naikar,90
InvestorsObserver,90
The Gold Report,89
coleneum,88
Michael Matthews,88
Matthew Bradbard,88
Ramon Lewis,87
Ross Cameron - Warrior Trading,85
Inside IPO,84
Tom White,83
superman,83
BenzingaStaffK,82
Brent Slava,81
Kate Stalter,81
Jeb Handwerger,79
pconfidential,79
Ophir Gottlieb,78
Christopher Brecher,77
Kory Guidry,77
Llenrock Group,77
Jane Sanders,76
Direxion,76
James Mecir,75
George Mentz,75
Ron Acoba,72
Rebecca Finn,71
Roger Vertes,70
Jay Wong,70
Harry Boxer - TheTechTrader.com,70
Andy Swan,68
Tim Thielen,67
Nina Zdinjak,67
Mary Meldrum,67
Matt Jackson,66
Louis Winthorp,66
David Lipton,65
Crystal Mills,64
Scott Loeb,64
George Maniere,64
Chris Poley,64
Alex Cho,63
Steve Miller,62
Chris Versace,61
Amit Nag,61
Eric Bosco,59
Bob White,59
Shane,59
M.E. Garza,58
dimarco,58
Stockopedia,57
Traders Huddle,56
Nicholas Kitonyi,55
The Energy Report,55
Spencer Purdy,55
Jeff Song,55
Andrew Ward,55
Jason Raznick1,54
Lisa Bloom,54
Andy Pai,54
Daniel Jennings,52
Vlad Karpel,51
prudentinvestor,50
TradeRadar,50
MattMcCall,50
Lindsey Conger,47
Jason Raznick,46
Luis Aureliano,45
Claire Kenney,43
Truth is Treason,43
Craig Adeyanju,43
Pension Pulse,42
Bryce Matulonis,42
The Cannabis Investor,42
Robert Sancrainte,42
TheOptionPlayer,41
Brian Sozzi,40
Randy Elias,40
Josh Wolonick,40
New Frontier Data,40
Victoria Novikova,40
Wall Street Mess,39
The Disciplined Investor,39
Alexis Raskin,39
Benzinga Cannabis,38
King of All Trades,38
James McIntosh,37
Nicole Sherrod,37
George Zabel,36
Barry Bazzell,36
themoneygardener,35
Julie Waterman,35
Ted Allrich,35
Greg Troccoli,35
Nick Esquer,35
Henry Khederian,34
Zacks Small Cap Research,34
OANDA,34
Activist Stocks,33
Kyial Robinson,33
Cliff Wachtel,33
Mark Morelli,32
LearnBonds,31
Greg Harmon,31
Rachel Cunningham,31
Mark Page,31
Patrick Mortimer,31
Christopher Dier-Scalise,30
Tom Aspray,30
Gary Kwapik,30
Vitaliy Katsenelson,30
James Ha,29
Kyle Bazzy,29
Jason Wulterkens,29
Cooper Ziecik,29
Option Wizard,29
Joe McCarty,29
Joshua Brown,28
Jae Jun,28
FAST Graphs,28
Arshon Afrakhteh,27
The Critical Metals Report,26
Tom Shaughnessy,26
Michael Thomsett,25
Jenna Wang,25
Dr. John L Faessel,25
Sean Hannon,25
Jeff Goldman,25
MicroCapital,25
Econ Grapher,25
Adam Parker,25
Thomas Bruni,24
Abigail Field,24
Frank Holmes,24
BookingAlpha,23
The Stock Advisors,23
moneytips,23
Brandon Cunningham,23
Dave Wienke,23
Dan Moskowitz,23
Stock Spin Offs,23
Marketfy Insights,23
Kristin Bentz,23
Steve Krause,23
Ben Reynolds - SureDividend.com,22
Richard Smith,22
GOBankingRates,22
Natan Ponieman,22
Jim Woods Investing,22
Prudena,22
Brantley Foster,22
mdmconsult,22
Barel Karsan,22
News On News,22
Devon Shire,22
parlorfix,21
Junior Analyst,21
Samantha Scheltema,21
Taipan Daily,20
Jaycee Tenn,20
Jennifer McDonell,20
Terry Allen,20
John Bougearel,20
Dan Blystone,20
Khyathi Dalal,20
Above Average Odds,20
Spencer Schredder,20
Sleibhin,20
Edgar Roth,19
Lightspeed Trading,19
Phil's Stock World,19
Avi Gilburt,19
William K. Black,18
Morning Brew,18
47ertrends,18
Bob Lang,18
Cathy Ryan,18
Weiss Crypto,18
Rakesh Sharma,18
